Epoch,Batch,Loss,Recon,VQ,Perceptual
1,1,4.434568881988525,0.08603803813457489,1.7398254871368408,"tensor(6.5218, device='cuda:0')"
1,2,4.5702900886535645,0.08402568101882935,1.7927823066711426,"tensor(6.7337, device='cuda:0')"
1,3,5.204463005065918,0.08606243133544922,1.796033263206482,"tensor(8.3059, device='cuda:0')"
1,4,4.861642360687256,0.05815770477056503,2.0586040019989014,"tensor(6.8622, device='cuda:0')"
1,5,5.2289628982543945,0.05333466827869415,2.4218029975891113,"tensor(6.8846, device='cuda:0')"
1,6,5.64283561706543,0.03894166648387909,2.8240628242492676,"tensor(6.9496, device='cuda:0')"
1,7,6.057668209075928,0.03469432145357132,3.2671689987182617,"tensor(6.8895, device='cuda:0')"
1,8,6.306709289550781,0.032719895243644714,3.8171610832214355,"tensor(6.1421, device='cuda:0')"
1,9,6.957781791687012,0.03279578685760498,4.067646026611328,"tensor(7.1433, device='cuda:0')"
1,10,7.0057525634765625,0.030685674399137497,4.619741439819336,"tensor(5.8883, device='cuda:0')"
1,11,7.274045944213867,0.026926688849925995,5.04326057434082,"tensor(5.5096, device='cuda:0')"
1,12,7.86583948135376,0.029234349727630615,5.419347763061523,"tensor(6.0431, device='cuda:0')"
1,13,8.014235496520996,0.026194915175437927,5.825602054595947,"tensor(5.4061, device='cuda:0')"
1,14,8.273799896240234,0.036735158413648605,5.4982523918151855,"tensor(6.8470, device='cuda:0')"
1,15,8.488496780395508,0.033312615007162094,5.898605823516846,"tensor(6.3914, device='cuda:0')"
1,16,9.047576904296875,0.027713080868124962,6.619195938110352,"tensor(6.0017, device='cuda:0')"
1,17,9.652533531188965,0.034570854157209396,7.117863178253174,"tensor(6.2502, device='cuda:0')"
1,18,9.378582954406738,0.024459153413772583,7.388401031494141,"tensor(4.9143, device='cuda:0')"
1,19,8.71811580657959,0.025282088667154312,6.210698127746582,"tensor(6.2053, device='cuda:0')"
1,20,8.031618118286133,0.03571954369544983,5.582186698913574,"tensor(6.0343, device='cuda:0')"
1,21,8.64482307434082,0.024909459054470062,6.320185661315918,"tensor(5.7493, device='cuda:0')"
1,22,8.453108787536621,0.027103377506136894,6.155971527099609,"tensor(5.6751, device='cuda:0')"
1,23,10.041082382202148,0.024820243939757347,7.766485214233398,"tensor(5.6244, device='cuda:0')"
1,24,10.979467391967773,0.023888161405920982,8.735857009887695,"tensor(5.5493, device='cuda:0')"
1,25,11.498504638671875,0.02351599559187889,9.107186317443848,"tensor(5.9195, device='cuda:0')"
