method,crf,bpp,psnr,ssim
H264,36,0.21337799684454756,inf,0.8912410858468678
H264,32,0.2671327958236659,inf,0.9293508213457077
H264,28,0.3611006441763341,inf,0.9555710069605567
MSVQVAE,actual,0.06428665308584687,10.938085568445477,0.18748464965197215
MSVQVAE,proxy,0.154297,10.938085568445477,0.18748464965197215
